link;Артикул;Тип;Цоколь;Мощность;Цветовая температура;Серия;Количество в упаковке;Гарантия;Тип лампы;Световой поток Лм;Индекс цветопередачи;Рабочее напряжение;Размеры;Время работы, ч;Аналог лампы накаливания;Аналог галогеновой лампы;Аналог КЛЛ;Угол светового пучка;Форма;
http://gauss.ru/product/lampa-gauss-led-gx70-2/;131016212;GX;GX70;12 Вт;;Gauss;;3 года;;;90;150-265V;110х37;35 000;100 Вт;75 Вт;20 Вт;;;
http://gauss.ru/product/lampa-gauss-led-a60-globe/;102502107;шар;E27;7 Вт;;Gauss;;3 года;;;90;150-265V;60х120;35 000;60 Вт;;;;;
http://gauss.ru/product/lampa-gauss-led-a60-globe-2/;102502207;шар;E27;7 Вт;;Gauss;;3 года;;;90;150-265V;60х120;35 000;60 Вт;;;;;
http://gauss.ru/product/lampa-gauss-led-a60-globe-3/;102502112;шар;E27;12 Вт;;Gauss;;3 года;;;90;150-265V;60х125;35 000;100 Вт;75 Вт;20 Вт;;;
http://gauss.ru/product/lampa-gauss-led-a60-globe-4/;102502212;шар;E27;12 Вт;;Gauss;;3 года;;;90;150-265V;60х120;35 000;100 Вт;75 Вт;20 Вт;;;
http://gauss.ru/product/gauss-led-candle-7w-dimmable/;103101107-D;;E14;7 Вт;3000K;Gauss;;3 года;;560;90;150-265V;38*110;35 000;;;;240°;;
http://gauss.ru/product/gauss-led-candle-dimmable/;103101207-D;;E14;7 Вт;4100K;Gauss;;3 года;;590;90;150-265V;38*110;35 000;;;;240°;;
http://gauss.ru/product/lampa-gauss-led-candle-3/;103102107;свеча;E27;6.5 Вт;2700K;Gauss;10;3 года;;520;90;150-265V;35х105;35 000;60 Вт;50 Вт;11 Вт;240°;;
http://gauss.ru/product/lampa-gauss-led-candle-4/;103102207;свеча;E27;6.5 Вт;4100K;Gauss;10;3 года;;550;90;150-265V;35х105;35 000;60 Вт;50 Вт;11 Вт;240°;;
http://gauss.ru/product/lampa-gauss-led-candle-tailed/;104101107;свеча на ветру;E14;6.5 Вт;2700K;Gauss;10;3 года;;520;90;150-265V;35х125;35 000;60 Вт;50 Вт;11 Вт;240°;;
http://gauss.ru/product/lampa-gauss-led-candle-tailed-2/;104101207;свеча на ветру;E14;6.5 Вт;4100K;Gauss;10;3 года;;550;90;150-265V;35х125;35 000;60 Вт;50 Вт;11 Вт;240°;;
